"ViewName","ViewLanguage","ColumnName","TotalRows","MapStatus","PsseSourceSchema","PsseSourceObject","PsseColumnName","SourceExpression"
"AnalysesPortefeuille","FR","IdValeurFiltrerRessourcesParRBS","0","MAPPED","pjrep","MSP_EpmPortfolioAnalysis_UserView","FilterResourcesByRBSValueUID","src.[FilterResourcesByRBSValueUID]"
"AnalysesPortefeuille","FR","NomAnalyse","0","MAPPED","pjrep","MSP_EpmPortfolioAnalysis_UserView","AnalysisName","src.[AnalysisName]"
"AnalysesPortefeuille","FR","NomChampPersonnaliséAutreDateDébutProjet","0","MAPPED","pjrep","MSP_EpmPortfolioAnalysis_UserView","AlternateProjectStartDateCustomFieldName","src.[AlternateProjectStartDateCustomFieldName]"
"AnalysesPortefeuille","FR","NomChampPersonnaliséAutreDateFinProjet","0","MAPPED","pjrep","MSP_EpmPortfolioAnalysis_UserView","AlternateProjectEndDateCustomFieldName","src.[AlternateProjectEndDateCustomFieldName]"
"AnalysesPortefeuille","FR","NomChampPersonnaliséContrainteImpérative","0","MAPPED","pjrep","MSP_EpmPortfolioAnalysis_UserView","HardConstraintCustomFieldName","src.[HardConstraintCustomFieldName]"
"AnalysesPortefeuille","FR","NomChampPersonnaliséRôle","0","MAPPED","pjrep","MSP_EpmPortfolioAnalysis_UserView","RoleCustomFieldName","src.[RoleCustomFieldName]"
"AnalysesPortefeuille","FR","NomDéfinitionPriorités","0","MAPPED","pjrep","MSP_EpmPortfolioAnalysis_UserView","PrioritizationName","src.[PrioritizationName]"
"AnalysesPortefeuille","FR","NomRessourceCréation","0","MAPPED","pjrep","MSP_EpmPortfolioAnalysis_UserView","CreatedByResourceName","src.[CreatedByResourceName]"
"AnalysesPortefeuille","FR","NomRessourceModification","0","MAPPED","pjrep","MSP_EpmPortfolioAnalysis_UserView","ModifiedByResourceName","src.[ModifiedByResourceName]"
"AnalysesPortefeuille","FR","NomService","0","MAPPED","pjrep","MSP_EpmPortfolioAnalysis_UserView","DepartmentName","src.[DepartmentName]"
"AnalysesPortefeuille","FR","NomTableChoixAliasExcluDeForce","0","MAPPED","pjrep","MSP_EpmPortfolioAnalysis_UserView","ForcedOutAliasLookupTableName","src.[ForcedOutAliasLookupTableName]"
"AnalysesPortefeuille","FR","NomTableChoixAliasInclusForce","0","MAPPED","pjrep","MSP_EpmPortfolioAnalysis_UserView","ForcedInAliasLookupTableName","src.[ForcedInAliasLookupTableName]"
"AnalysesPortefeuille","FR","TexteValeurFiltrerRessourcesParRBS","0","MAPPED","pjrep","MSP_EpmPortfolioAnalysis_UserView","FilterResourcesByRBSValueText","src.[FilterResourcesByRBSValueText]"
"AnalysesPortefeuille","FR","TypeAnalyse","0","MAPPED","pjrep","MSP_EpmPortfolioAnalysis_UserView","AnalysisType","src.[AnalysisType]"
"AnalysesPortefeuille","FR","TypeDéfinitionPriorités","0","MAPPED","pjrep","MSP_EpmPortfolioAnalysis_UserView","PrioritizationType","src.[PrioritizationType]"
